SHA,URL,Parent,Independent,Pure,Operation,Location,Src,Dst
af4247b152350b4fd0ac8bb9395833bd84e827d2,https://github.com/scikit-learn/scikit-learn/commit/af4247b152350b4fd0ac8bb9395833bd84e827d2,https://github.com/scikit-learn/scikit-learn/commit/0a2dc72982e574eedf652ff3b675e67f0d1edef9,1,2,Clean Up,doc/conftest.py,Method teardown_mldata,
af4247b152350b4fd0ac8bb9395833bd84e827d2,https://github.com/scikit-learn/scikit-learn/commit/af4247b152350b4fd0ac8bb9395833bd84e827d2,https://github.com/scikit-learn/scikit-learn/commit/0a2dc72982e574eedf652ff3b675e67f0d1edef9,1,2,Clean Up,doc/conftest.py,Method pytest_runtest_teardown,
af4247b152350b4fd0ac8bb9395833bd84e827d2,https://github.com/scikit-learn/scikit-learn/commit/af4247b152350b4fd0ac8bb9395833bd84e827d2,https://github.com/scikit-learn/scikit-learn/commit/0a2dc72982e574eedf652ff3b675e67f0d1edef9,1,2,Clean Up,sklearn/utils/testing.py,Method fake_mldata,
af4247b152350b4fd0ac8bb9395833bd84e827d2,https://github.com/scikit-learn/scikit-learn/commit/af4247b152350b4fd0ac8bb9395833bd84e827d2,https://github.com/scikit-learn/scikit-learn/commit/0a2dc72982e574eedf652ff3b675e67f0d1edef9,1,2,Clean Up,sklearn/utils/testing.py,Class mock_mldata_urlopen,
af4247b152350b4fd0ac8bb9395833bd84e827d2,https://github.com/scikit-learn/scikit-learn/commit/af4247b152350b4fd0ac8bb9395833bd84e827d2,https://github.com/scikit-learn/scikit-learn/commit/0a2dc72982e574eedf652ff3b675e67f0d1edef9,1,2,Clean Up,sklearn/utils/testing.py,Method install_mldata_mock,
af4247b152350b4fd0ac8bb9395833bd84e827d2,https://github.com/scikit-learn/scikit-learn/commit/af4247b152350b4fd0ac8bb9395833bd84e827d2,https://github.com/scikit-learn/scikit-learn/commit/0a2dc72982e574eedf652ff3b675e67f0d1edef9,1,2,Clean Up,sklearn/utils/testing.py,Method uninstall_mldata_mock,
af22f290fd294ed9f2ba2f824fa4fcc9eb938655,https://github.com/scikit-learn/scikit-learn/commit/af22f290fd294ed9f2ba2f824fa4fcc9eb938655,https://github.com/scikit-learn/scikit-learn/commit/4bc740cfb7d15dbada63adb387d8f8e4327832e7,1,1,Clean Up,examples/linear_model/plot_isotonic_regression.py,Variable x_extrapolated,
af22f290fd294ed9f2ba2f824fa4fcc9eb938655,https://github.com/scikit-learn/scikit-learn/commit/af22f290fd294ed9f2ba2f824fa4fcc9eb938655,https://github.com/scikit-learn/scikit-learn/commit/4bc740cfb7d15dbada63adb387d8f8e4327832e7,1,1,Clean Up,examples/linear_model/plot_isotonic_regression.py,Variable y_extrapolated_,
ad91259f20529306efe445f5a1da4dccc8c81b5a,https://github.com/scikit-learn/scikit-learn/commit/ad91259f20529306efe445f5a1da4dccc8c81b5a,https://github.com/scikit-learn/scikit-learn/commit/b79423ea3ee579bb13e0716ce94e2ffa0baed375,1,1,Clean Up,sklearn/linear_model/_stochastic_gradient.py,Variable alpha,
aca8f20db461ca0dd70b02b6a1f41b957b2b12ee,https://github.com/scikit-learn/scikit-learn/commit/aca8f20db461ca0dd70b02b6a1f41b957b2b12ee,https://github.com/scikit-learn/scikit-learn/commit/6a1a4d63db0c69104dddac3170e777e42e9517f4,1,1,Clean Up,sklearn/feature_extraction/_dict_vectorizer.py,Variable v,
ac40d4ffb37c8b0042d42bc4eb5ece51ce9debe5,https://github.com/scikit-learn/scikit-learn/commit/ac40d4ffb37c8b0042d42bc4eb5ece51ce9debe5,https://github.com/scikit-learn/scikit-learn/commit/6a4aa3a9dfd9c6894ce6a07e4ee8e62f3415e91b,1,1,Clean Up,sklearn/cross_decomposition/pls_.py,Method coefs,
ab4a8b4a87be227dacafee7e4131fb98f189a5e4,https://github.com/scikit-learn/scikit-learn/commit/ab4a8b4a87be227dacafee7e4131fb98f189a5e4,https://github.com/scikit-learn/scikit-learn/commit/01e56bd6c2f219605477a0afdda6edb5c3c03f54,1,1,Clean Up,sklearn/model_selection/tests/test_search.py,Variable train_cv_scores,
aac47a20fc0dd605521eb4170e38f420d7c9242d,https://github.com/scikit-learn/scikit-learn/commit/aac47a20fc0dd605521eb4170e38f420d7c9242d,https://github.com/scikit-learn/scikit-learn/commit/6fc30affe881f215f993b80b470c6b6c4eb2d001,1,1,Clean Up,sklearn/datasets/tests/test_base.py,Method test_deprecated_load_filenames,
aa13538fdfc0dda14619426764c7c96544ee5209,https://github.com/scikit-learn/scikit-learn/commit/aa13538fdfc0dda14619426764c7c96544ee5209,https://github.com/scikit-learn/scikit-learn/commit/9aabbdb211c7e7bbab520ca1819ad9f06cbc7552,1,0,Clean Up,sklearn/cluster/k_means_.py,Method _mini_batch_step_sparse,
a73260db9c0b63d582ef4a7f3c696b68058c1c43,https://github.com/scikit-learn/scikit-learn/commit/a73260db9c0b63d582ef4a7f3c696b68058c1c43,https://github.com/scikit-learn/scikit-learn/commit/f6c664c8f640537c2181a83747547291df7b263f,1,1,Clean Up,sklearn/utils/validation.py,Method _shape_repr,
a707c34d1c91dbd8ea076e137c658327bdc1fe8e,https://github.com/scikit-learn/scikit-learn/commit/a707c34d1c91dbd8ea076e137c658327bdc1fe8e,https://github.com/scikit-learn/scikit-learn/commit/123d70d9a91e15f6076ada072305ad2aaa0bd916,1,0,Clean Up,sklearn/manifold/tests/test_isomap.py,Method assert_lower,
a707c34d1c91dbd8ea076e137c658327bdc1fe8e,https://github.com/scikit-learn/scikit-learn/commit/a707c34d1c91dbd8ea076e137c658327bdc1fe8e,https://github.com/scikit-learn/scikit-learn/commit/123d70d9a91e15f6076ada072305ad2aaa0bd916,1,0,Clean Up,sklearn/manifold/tests/test_locally_linear.py,Method assert_lower,
a64d5aa16c0de413b7d3fdebbe2465ba0b114c31,https://github.com/scikit-learn/scikit-learn/commit/a64d5aa16c0de413b7d3fdebbe2465ba0b114c31,https://github.com/scikit-learn/scikit-learn/commit/5f57f855dfc41bf5b6eafc3c99069b5778ee4277,1,1,Clean Up,sklearn/metrics/metrics.py,Method zero_one,
a64d5aa16c0de413b7d3fdebbe2465ba0b114c31,https://github.com/scikit-learn/scikit-learn/commit/a64d5aa16c0de413b7d3fdebbe2465ba0b114c31,https://github.com/scikit-learn/scikit-learn/commit/5f57f855dfc41bf5b6eafc3c99069b5778ee4277,1,1,Clean Up,sklearn/metrics/metrics.py,Method zero_one_score,
a5aa0bd88a39dbbeb5d8dc2c3ad31f41888ecc2f,https://github.com/scikit-learn/scikit-learn/commit/a5aa0bd88a39dbbeb5d8dc2c3ad31f41888ecc2f,https://github.com/scikit-learn/scikit-learn/commit/248522559624bee2cf001721ebbd1974291c3941,1,1,Clean Up,scikits/learn/svm/tests/test_svm.py,Variable n_features,
a22d25e9c07d314a32a5336419d89c455d2ff0fd,https://github.com/scikit-learn/scikit-learn/commit/a22d25e9c07d314a32a5336419d89c455d2ff0fd,https://github.com/scikit-learn/scikit-learn/commit/df54c39f476daf3a44c49386c895ed17f819a92e,1,1,Clean Up,scikits/learn/setup.py,Variable minilearn_sources,
a13a7d8d20489329a78e6b12086353c8248ddc64,https://github.com/scikit-learn/scikit-learn/commit/a13a7d8d20489329a78e6b12086353c8248ddc64,https://github.com/scikit-learn/scikit-learn/commit/47cf43d44a15f2b392a817c5d0ad995671246049,1,1,Clean Up,sklearn/utils/testing.py,Class _named_check,
a12eff1a940c8a0a2b4f5a00a3fc2fcb19ba204c,https://github.com/scikit-learn/scikit-learn/commit/a12eff1a940c8a0a2b4f5a00a3fc2fcb19ba204c,https://github.com/scikit-learn/scikit-learn/commit/2c72bf8ca834956cbd6d390bf19033ec7cf3510f,1,1,Clean Up,sklearn/linear_model/tests/test_ransac.py,Variable estimator,
9d35f4c102acef4e3a662d40a5126b7d87f3b913,https://github.com/scikit-learn/scikit-learn/commit/9d35f4c102acef4e3a662d40a5126b7d87f3b913,https://github.com/scikit-learn/scikit-learn/commit/68300d82d8a218fc2a53bad3c8dc6d691bb48564,1,2,Clean Up,scikits/learn/svm/base.py,Class BaseLib,
9d1a850fc09773bb4df28a74559357418ad2b979,https://github.com/scikit-learn/scikit-learn/commit/9d1a850fc09773bb4df28a74559357418ad2b979,https://github.com/scikit-learn/scikit-learn/commit/0dbbf19fd3c0410b1172a35933b1d32aa1470d4f,1,1,Clean Up,sklearn/metrics/tests/test_metrics.py,Variable MULTIOUTPUT_METRICS_WITH_SAMPLE_WEIGHT,
